Número Município Nome
     1 1100015   Alta Floresta D'Oeste           
   810 2305704   Ipaumirim                       
   811 2306009   Iracema                         
   812 2306108   Irauçuba                        
   813 2306207   Itaiçaba                        
   814 2306504   Itapiúna                        
   815 2306603   Itatira                         
   816 2306702   Jaguaretama                     
   817 2306801   Jaguaribara                     
   818 2307106   Jardim                          
   819 2307205   Jati                            
   820 2307254   Jijoca de Jericoacoara          
   821 2307403   Jucás                           
   822 2307635   Madalena                        
   823 2307809   Marco                           
   824 2307908   Martinópole                     
   825 2308203   Meruoca                         
   826 2308302   Milagres                        
   827 2308351   Milhã                           
   828 2308377   Miraíma                         
   829 2308609   Monsenhor Tabosa                
   830 2308807   Moraújo                         
   831 2308906   Morrinhos                       
   832 2309003   Mucambo                         
   833 2309102   Mulungu                         
   834 2309201   Nova Olinda                     
   835 2309409   Novo Oriente                    
   836 2309458   Ocara                           
   837 2309508   Orós                            
   838 2309805   Pacoti                          
   839 2309904   Pacujá                          
   840 2310001   Palhano                         
   841 2310100   Palmácia                        
   842 2310258   Paraipaba                       
   843 2310407   Paramoti                        
   844 2310605   Penaforte                       
   845 2310803   Pereiro                         
   846 2310852   Pindoretama                     
   847 2310902   Piquet Carneiro                 
   848 2310951   Pires Ferreira                  
   849 2311009   Poranga                         
   850 2311108   Porteiras                       
   851 2311207   Potengi                         
   852 2311231   Potiretama                      
   853 2311264   Quiterianópolis                 
   854 2311355   Quixelô                         
   855 2311504   Quixeré                         
   856 2311603   Redenção                        
   857 2311702   Reriutaba                       
   858 2311900   Saboeiro                        
   859 2311959   Salitre                         
   860 2312007   Santana do Acaraú               
   861 2312106   Santana do Cariri               
   862 2312502   São João do Jaguaribe           
   863 2312601   São Luís do Curu                
   864 2312700   Senador Pompeu                  
   865 2312809   Senador Sá                      
   866 2313005   Solonópole                      
   867 2313203   Tamboril                        
   868 2313252   Tarrafas                        
   869 2313351   Tejuçuoca                       
   870 2313559   Tururu                          
   871 2313609   Ubajara                         
   872 2313708   Umari                           
   873 2313757   Umirim                          
   874 2313807   Uruburetama                     
   875 2313906   Uruoca                          
   876 2313955   Varjota                         
   877 2400109   Acari                           
   878 2400307   Afonso Bezerra                  
   879 2400406   Água Nova                       
   880 2400505   Alexandria                      
   881 2400604   Almino Afonso                   
   882 2400703   Alto do Rodrigues               
   883 2400802   Angicos                         
   884 2400901   Antônio Martins                 
   885 2401107   Areia Branca                    
   886 2401206   Arês                            
   887 2401305   Augusto Severo                  
   888 2401404   Baía Formosa                    
   889 2401453   Baraúna                         
   890 2401503   Barcelona                       
